stazPart,stazArr
BIELLA,NOVARA
MONTEBELLUNA,TREVISO
BRESCIA,MILANO
MILANO,TREVIGLIO
VOGHERA,MILANO
MILANO,PAVIA
ROMA,FIUMICINO
NAPOLI,NAPOLI
NAPOLI,NAPOLI
NAPOLI,VILLA
NAPOLI,POZZUOLI
NAPOLI,POZZUOLI
ROMA,ORTE
LIVORNO,PONTEDERA
PISA,LUCCA
SUSA,TORINO
SALERNO,MERCATO
MONTEBELLUNA,PADOVA
LECCO,MILANO
PONTE,MILANO
LECCO,MILANO
LECCO,MILANO
LECCO,MONZA
SARONNO,MILANO
M,VARESE
M,COMO
MARIANO,M
M,CAMNAGO
NOVATE,M
M,MALPENSA
NOVATE,MILANO
M,SARONNO
COMO,M
VARESE,M
SARONNO,M
MALPENSA,M
SEVESO,M
FIRENZE,EMPOLI
PORRETTA,BOLOGNA
BASSANO,VENEZIA
VENEZIA,VENEZIA
NETTUNO,ROMA
S.GIOVANNI,ROMA
FIUMICINO,ROMA
ROMA,FIUMICINO
ROMA,FIUMICINO
PIAZZA,AULLA
TARANTO,BRINDISI
CASALE,MORTARA
ORISTANO,CAGLIARI
PIAZZA,LUCCA
ALBANO,CIAMPINO
TREVIGLIO,BERGAMO
VILLA,NAPOLI
NAPOLI,POZZUOLI
ACQUI,GENOVA
MILANO,MILANO
SAN,BOLOGNA
FIUMICINO,ROMA
SIBARI,CATANZARO
CASSINO,ROMA
GROSSETO,ROMA
CHIUSI,FIRENZE
REGGIO,CATANZARO
UDINE,VENEZIA
NAPOLI,ROMA
LA SPEZIA,FIRENZE
ROMA,VITERBO
NAPOLI,ROMA
TORINO,MILANO
GENOVA,LA SPEZIA
BOLOGNA,VOGHERA
OLBIA,MACOMER
ISEO,EDOLO
AVEZZANO,ROMA
PAOLA,REGGIO
BELLUNO,VENEZIA
LAMEZIA,REGGIO
PESCARA,ANCONA
CASSINO,NAPOLI
CASSINO,ROMA
TERNI,L`AQUILA
TERNI,ROMA
LECCE,BARI
CHIUSI,ROMA
CHIUSI,FIRENZE
CATANIA,TAORMINA
CATANIA,MESSINA
SIENA,FIRENZE
VARESE,TREVIGLIO
FOGGIA,POTENZA
CAGLIARI,CARBONIA
MESSINA,CATANIA
CREMONA,MILANO
CREMONA,MILANO
TRENTO,BASSANO
PORTOGRUARO,VENEZIA
UDINE,VENEZIA
TRIESTE,VENEZIA
RIMINI,BOLOGNA
RIMINI,ANCONA
FERRARA,RAVENNA
CHIVASSO,ALESSANDRIA
ROMA,MONTALTO
ROMA,NETTUNO
SAVONA,VENTIMIGLIA
SAVONA,TORINO
TORINO,ALBA
ROMA,CASSINO
FIRENZE,CHIUSI
ANCONA,FOLIGNO
ANCONA,PESCARA
BARI,LECCE
BARI,TARANTO
BARI,FOGGIA
MODENA,MANTOVA
ALESSANDRIA,TORINO
ALESSANDRIA,CHIVASSO
PARMA,BRESCIA
ROMA,BRACCIANO
TREVISO,VICENZA
VERONA,BOLOGNA
VERONA,BOLZANO
VERONA,VENEZIA
GENOVA,TORINO
LIVORNO,LA SPEZIA
LIVORNO,FIRENZE
PISA,GROSSETO
NAPOLI,VAIRANO
NAPOLI,FORMIA-GAETA
TORINO,MILANO
TORINO,SUSA
SALERNO,NAPOLI
SALERNO,NAPOLI
VENEZIA,VERONA
MILANO,CHIASSO
MILANO,PIACENZA
MILANO,PORTO
FIRENZE,VIAREGGIO
FIRENZE,FAENZA
BOLOGNA,VERONA
VENEZIA,BASSANO
ROCCELLA,REGGIO
SIRACUSA,CATANIA
ALBA,TORINO
PIACENZA,MILANO
VOGHERA,PIACENZA
STRADELLA,MILANO
CROTONE,LAMEZIA
CATANZARO,LOCRI
ARONA,DOMODOSSOLA
ARONA,MILANO
FABRIANO,ANCONA
FOSSANO,TORINO
SULMONA,L`AQUILA
IGLESIAS,CAGLIARI
CARBONIA,CAGLIARI
ASCOLI,ANCONA
SALERNO,BUCCINO
TERNI,ROMA
COLICO,CHIAVENNA
ROVIGO,VENEZIA
ROVIGO,VENEZIA
POGGIO,BOLOGNA
CHIUSI,SIENA
TIVOLI,ROMA
