citta_uniche,LAT,LON
CODIGORO,44.8318358,12.1050145
MOLTENO,45.7770764,9.3065866
BRACCIANO,42.1033072,12.1756218
BUSALLA,44.5707931,8.9449805
MELEGNANO,45.3575343,9.3242522
APRILIA,41.5941031,12.6481664
AUGUSTA,37.2304973,15.2194319
CONEGLIANO,45.8871851,12.2977272
IMPERIA,43.8856884,8.0278506
JESI,43.522797,13.2438253
CARPI,44.7824747,10.8852626
ROVASENDA,45.5367966,8.3136149
SARZANA,44.1129151,9.959676
TIRANO,46.216887,10.1753154
ALASSIO,44.0080222,8.1729613
EBOLI,40.6181238,15.0544483
MONSELICE,45.2394701,11.750115
MINUCCIANO,44.1702969,10.2075641
LEVANTO,44.1699612,9.6124648
TORTONA,44.8947397,8.8601589
RECCO,44.3621819,9.143549
IMOLA,44.3530631,11.7141554
VASTO,42.1121688,14.707916
ROVERETO,45.8864957,11.0451756
MELFI,40.9943795,15.652909
TAORMINA,37.8510327,15.283075
MARZABOTTO,44.3403739,11.2051399
PIANORO,44.385099,11.3432594
GIULIANOVA,42.7526246,13.956716
GIARRE,37.729935,15.1844955
MAGIONE,43.1425785,12.2054071
SALBERTRAND,45.0723713,6.8836881
BATTIPAGLIA,40.6076141,14.9834355
BARAGIANO,40.6795038,15.5942002
CITTADELLA,45.6485919,11.7836545
MONTEVARCHI,43.5235828,11.567469
AVERSA,40.9730196,14.2062666
MARRADI,44.0754494,11.6127649
AVIANO,46.0672177,12.5881796
ATTIGLIANO,42.5149005,12.2894226
PONTASSIEVE,43.7757937,11.4398655
CHIETI,42.3509928,14.1675427
MACOMER,40.2649786,8.7825028
PIOMBINO,42.9219385,10.5274135
POGGIBONSI,43.4668489,11.1466271
ZAGAROLO,41.8398184,12.8296354
SOLAROLO,44.3601603,11.843752
BORGOMANERO,45.698883,8.4629865
CALOLZIOCORTE,45.8018019,9.4321101
CARMAGNOLA,44.8465448,7.7181575
ALBAIRATE,45.4187106,8.9351739
MARINO,41.7696536,12.6586071
VERNIO,44.0533294,11.1557588
LODI,45.3144099,9.5037208
LATISANA,45.7759682,12.9952955
GIOVINAZZO,41.1880532,16.6726122
CASALPUSTERLENGO,45.1777976,9.6510712
ANTRODOCO,42.4174959,13.0802015
TRANI,41.2740349,16.4172134
CAPRANICA,42.2566375,12.1780595
ALBENGA,44.0490915,8.2129474
SEREGNO,45.6502205,9.201766
FILATTIERA,44.331267,9.9368775
ROBBIO,45.2891186,8.5939575
VERDELLO,45.6065292,9.6270239
CARIMATE,45.7026944,9.115251
MONTEPULCIANO,43.0925253,11.7807007
PESCIA,43.9031412,10.6885925
CAPUA,41.1075713,14.2108461
MONFALCONE,45.8092448,13.5326476
