stazPart,stazArr
SULMONA,L`AQUILA
IGLESIAS,CAGLIARI
CARBONIA,CAGLIARI
ASCOLI,ANCONA
SALERNO,BUCCINO
COLICO,CHIAVENNA
ROVIGO,VENEZIA
ROVIGO,VENEZIA
CHIUSI,SIENA
VERCELLI,PAVIA
RAVENNA,CASTELBOLOGNESE
FIUMEFREDDO,SIRACUSA
CREMONA,PAVIA
BUONCONVENTO,FIRENZE
SIENA,CHIUSI
SIENA,BUONCONVENTO
ASTI,ACQUI
MANTOVA,VERONA
BORGO,FIRENZE
FIRENZE,AREZZO
AREZZO,PRATO
FOGGIA,BARI
FAENZA,RAVENNA
PISTOIA,FIRENZE
CAGLIARI,SAN
CAGLIARI,IGLESIAS
CREMONA,BRESCIA
CREMONA,FIDENZA
TRENTO,BOLZANO
TRENTO,VERONA
TRENTO,BOLZANO
TRENTO,ALA
SACILE,MANIAGO
BOLZANO,BRENNERO
BOLZANO,ALA
BOLZANO,MERANO
PALERMO,PUNTA
PUNTA,PALERMO
PORTOGRUARO,TREVISO
PORTOGRUARO,VENEZIA
PORTOGRUARO,TRIESTE
PORTOGRUARO,TREVISO
PESCARA,TERMOLI
CARNIA,TRIESTE
UDINE,TRIESTE
RIMINI,ANCONA
FERRARA,RAVENNA
CASERTA,SALERNO
CHIVASSO,PINEROLO
MONTEROTONDO,FIUMICINO
FARA,FIUMICINO
REGGIO,GUASTALLA
REGGIO,SASSUOLO
REGGIO,CIANO
EMPOLI,SIENA
PALERMO,TERMINI
GALLARATE,LUINO
GALLARATE,VARESE
VICENZA,VENEZIA
VICENZA,TREVISO
ANCONA,FABRIANO
COMO,LECCO
BERGAMO,BRESCIA
BERGAMO,TREVIGLIO
LA SPEZIA,PONTREMOLI
BARI,BARLETTA
BARI,FASANO
BARI,FASANO
MODENA,SASSUOLO
MODENA,MANTOVA
ALESSANDRIA,PAVIA
NOVARA,TREVIGLIO
NOVARA,ALESSANDRIA
TREVISO,PADOVA
TREVISO,PORTOGRUARO
PAVIA,ALESSANDRIA
GENOVA,ARQUATA
GENOVA,ACQUI
GENOVA,BUSALLA
VAL,LUNGHEZZA
ORTE,FIUMICINO
LIVORNO,FIRENZE
PISA,LA SPEZIA
GENOVA,SAVONA
PADOVA,MONTEBELLUNA
PADOVA,BASSANO
M,CAMNAGO
COMO,M
SARONNO,M
VENEZIA,BASSANO
VENEZIA,PORTOGRUARO
VENEZIA,PORTOGRUARO
OLBIA,GOLFO
SASSARI,PORTO
ROCCAPALUMBA-ALIA,CALTANISSETTA
SIBARI,COSENZA
PISOGNE,BRESCIA
ISEO,BRESCIA
SIRACUSA,AUGUSTA
LIMONE,CUNEO
COLICO,SONDRIO
PERUGIA,FOLIGNO
LAMEZIA,CATANZARO
ARONA,NOVARA
L`AQUILA,SULMONA
SAPRI,COSENZA
CARBONIA,VILLAMASSARGIA
FELTRE,BELLUNO
BELLUNO,FELTRE
PONTREMOLI,LA SPEZIA
PIAZZA,AULLA
CASSINO,FROSINONE
RIETI,TERNI
TARANTO,BRINDISI
CHIAVENNA,COLICO
CHIAVENNA,COLICO
LEGNAGO,SALETTO
SERMIDE,SUZZARA
MORTARA,MI.P.GENOVA
MORTARA,CASALE
MORTARA,VERCELLI
MORTARA,NOVARA
ASTI,ALBA
VERONA,MANTOVA
BORGO,FIRENZE
AREZZO,FIRENZE
BIELLA,SANTHIA`
SANTHIA`,BIELLA
STABIO,BUSTO
BUSTO,STABIO
GALLARATE,VARESE
VARESE,STABIO
FIRENZE,PISTOIA
PISTOIA,FIRENZE
PISTOIA,FIRENZE
CAGLIARI,DECIMOMANNU
MILAZZO,MESSINA
GIAMPILIERI,MESSINA
S.AGATA,MESSINA
MESSINA,GIAMPILIERI
TREVIGLIO,CREMONA
PIADENA,CREMONA
MERANO,BOLZANO
GIACHERY,PALERMO
PALERMO,PUNTA
PUNTA,PALERMO
GIACHERY,PALERMO
PALERMO,GIACHERY
PALERMO,GIACHERY
CASARSA,PORTOGRUARO
PORTOGRUARO,CASARSA
BARI,BARLETTA
FIDENZA,CREMONA
TERMOLI,PESCARA
PESARO,RIMINI
SERMIDE,FERRARA
FARA,FIUMICINO
ACQUI,SAVONA
SASSUOLO,REGGIO
GUASTALLA,REGGIO
CIANO,REGGIO
REGGIO,SASSUOLO
RIVAROLO,CHIERI
PINEROLO,CHIVASSO
CIAMPINO,ALBANO
FIRENZE,EMPOLI
AREZZO,FIRENZE
BORGO,FIRENZE
AGRIGENTO,PALERMO
CEFALU`,PALERMO
AGRIGENTO,PALERMO
PALERMO,TERMINI
SCHIO,VICENZA
BASSANO,VICENZA
CHIASSO,COMO
CHIASSO,COMO
LECCO,COMO
COMO,CHIASSO
BRESCIA,BERGAMO
TREVIGLIO,BERGAMO
BRESCIA,BERGAMO
BITRITTO,BARI
TARANTO,BARI
BARI,BITRITTO
SASSUOLO,MODENA
MODENA,SASSUOLO
VOGHERA,ASTI
ACQUI,ALESSANDRIA
ALESSANDRIA,ACQUI
ALESSANDRIA,VOGHERA
PIADENA,PARMA
SUZZARA,PARMA
PARMA,BERCETO
DOMODOSSOLA,NOVARA
BIELLA,ROVASENDA
NOVARA,ARONA
VENEZIA,CONEGLIANO
VENEZIA,TREVISO
MONTEBELLUNA,TREVISO
TREVISO,MONTEBELLUNA
TREVISO,VENEZIA
TREVISO,VENEZIA
NOVI,GENOVA
NOVI,GENOVA
LIVORNO,LUCCA
PONTEDERA,PISA
SESTRI,GENOVA
PADOVA,VENEZIA
LECCO,MONZA
M,MALPENSA
M,SARONNO
ASSO,M
MALPENSA,M
CAMNAGO,M
M,CAMNAGO
NOVARA,M
M,SARONNO
COMO,M
LAVENO,M
ERBA,M
SARONNO,M
COMO,M
MALPENSA,M
LAVENO,M
BORGO,FIRENZE
FIRENZE,PISTOIA
BASSANO,VENEZIA
BASSANO,VENEZIA
PORTO,SASSARI
MI.P.GENOVA,MORTARA
SAN,CAGLIARI
ORISTANO,CAGLIARI
ALA,TRENTO
PUNTA,PALERMO
CASTELPLANIO,ANCONA
TREVIGLIO,BERGAMO
SESTRI,LA SPEZIA
BERCETO,PARMA
BORGO,FIRENZE
VENEZIA,VENEZIA
SIRACUSA,MESSINA
REGGIO,COSENZA
MESSINA,PALERMO
LA SPEZIA,SAVONA
SIRACUSA,MESSINA
AVEZZANO,CASSINO
POTENZA,FOGGIA
FORTEZZA,VERONA
CATANZARO,SIBARI
CATANZARO,REGGIO
FABRIANO,ANCONA
COSENZA,REGGIO
LAMEZIA,REGGIO
VENTIMIGLIA,GENOVA
FOLIGNO,ANCONA
GROSSETO,FIRENZE
REGGIO,LAMEZIA
VARESE,TREVIGLIO
FOGGIA,POTENZA
FAENZA,FIRENZE
MESSINA,S.AGATA
TRENTO,BRENNERO
UDINE,VENEZIA
RIMINI,S.PIETRO
SAVONA,SESTRI
SAVONA,VENTIMIGLIA
PALERMO,MESSINA
PALERMO,AGRIGENTO
LA SPEZIA,GENOVA
NOVARA,IVREA
VENEZIA,TRIESTE
VERONA,VENEZIA
PISA,AULLA
SALERNO,POTENZA
GENOVA,VENTIMIGLIA
SASSARI,OLBIA
DITTAINO,PALERMO
SIBARI,CATANZARO
SONDRIO,LECCO
POTENZA,FOGGIA
POTENZA,SALERNO
BRENNERO,MERANO
SULMONA,TERAMO
BELLUNO,VENEZIA
PESCARA,ANCONA
CASSINO,AVEZZANO
TERNI,L`AQUILA
ORBETELLO,PISA
GROSSETO,SIENA
ANCONA,ASCOLI
CIVITANOVA,FABRIANO
FOSSANO,SAVONA
CHIUSI,FOLIGNO
CHIUSI,PISTOIA
CHIUSI,FIRENZE
RAVENNA,FERRARA
RAVENNA,PESARO
IVREA,NOVARA
SIENA,FIRENZE
MANTOVA,MODENA
VARESE,TREVIGLIO
FOGGIA,POTENZA
MESSINA,CATANIA
TRENTO,BASSANO
VIAREGGIO,FIRENZE
BARLETTA,FASANO
UDINE,VENEZIA
TRIESTE,VENEZIA
TRIESTE,CARNIA
FERRARA,VENEZIA
FERRARA,IMOLA
FERRARA,CODIGORO
CASERTA,CASSINO
CHIVASSO,PINEROLO
CHIVASSO,ALESSANDRIA
SAVONA,ALESSANDRIA
SAVONA,RECCO
FIRENZE,AREZZO
LA SPEZIA,LIVORNO
LA SPEZIA,PISA
BARI,LECCE
BARI,FOGGIA
BARI,TARANTO
ALESSANDRIA,MI.P.GENOVA
PARMA,BRESCIA
PARMA,SUZZARA
NOVARA,DOMODOSSOLA
NOVARA,BIELLA
NOVARA,IVREA
NOVARA,TREVIGLIO
TREVISO,BELLUNO
TREVIGLIO,VARESE
PAVIA,CODOGNO
VERONA,BOLZANO
VERONA,VENEZIA
VERONA,BOLZANO
FIUMICINO,ORTE
LIVORNO,PONTREMOLI
GENOVA,LA SPEZIA
M,LAVENO
M,NOVARA
SARONNO,ALBAIRATE
SARONNO,LODI
FIRENZE,PISA
FIRENZE,SIENA
VENEZIA,FERRARA
VENEZIA,UDINE
VENEZIA,VERONA
VENEZIA,VERONA
VENEZIA,UDINE
VENEZIA,TRIESTE
BENEVENTO,CASERTA
LOCRI,CATANZARO
ORTE,VITERBO
BRESCIA,EDOLO
BRENO,BRESCIA
EDOLO,BRESCIA
AVEZZANO,CAPISTRELLO
FOLIGNO,TERONTOLA
S.CANDIDO,MERANO
SULMONA,PESCARA
SULMONA,AVEZZANO
SULMONA,L`AQUILA
SULMONA,PESCARA
COSENZA,SAPRI
IGLESIAS,CAGLIARI
CAGLIARI,IGLESIAS
IGLESIAS,CAGLIARI
CAMPIGLIA,GROSSETO
PONTREMOLI,LA SPEZIA
AULLA,PIAZZA
ASCOLI,ANCONA
S.BENEDETTO,ANCONA
VENTIMIGLIA,IMPERIA
TERAMO,VASTO
PESCARA,TERAMO
LECCE,BARI
LECCE,BARI
BRINDISI,TARANTO
LECCO,SONDRIO
COLICO,CHIAVENNA
MACERATA,ANCONA
FOSSANO,LIMONE
CHIUSI,SIENA
CHIUSI,SIENA
PAVIA,VERCELLI
VERCELLI,PAVIA
MORTARA,MI.P.GENOVA
MORTARA,NOVARA
MELITO,VILLA
LADISPOLI-CERVETERI,PONTE
RAVENNA,FERRARA
RAVENNA,CASTELBOLOGNESE
ALCANTARA,SIRACUSA
CATANIA,TAORMINA
CODOGNO,PAVIA
SIENA,FIRENZE
ASTI,ACQUI
ASTI,VOGHERA
MANTOVA,MONSELICE
MANTOVA,VERONA
